ཡིག་ཆ།,"BDRC
Work",,,,,རྩ་བ།,"BDRC
Work",,,,,,,,,,,,,,,,
Pecha Upload List,,,,對讀上傳Pecha工作分配及流程,S.O.P. of Upload file to Pecha,,,,,,,,,,,,,,,,,,
Kumarajive No.,,Data Preparation,Tibetan/Chineses Sutra Name (Short),Tibetan/Chiness Sutra Name (Long),English Sutra Name,Commentary of (Toh number),,Category,Author (Tibetan/Chinese),Author (English),"""Source: URL or site name ",Bo/Zh/Modern ZH,Document link,Pecha no., Pecha Status,Alignment File,Alingment Status,todo KV,todo Drupchen,remark GZ,same segmentation,segmentation of simplified Chinese translation,陳/黃chen & huang remarks
,,,《金光明最勝王經 》,聖金光明最上勝經王大乘經,,toh555,,1. 經部,佛世尊,,CBETA,ZH,《金光明最勝王經 》toh555-tai665_zh,I36DFEF72 - 金光明最勝王經 ,fodian.org,,Alignment Checking,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
toh341-tai202 ,,,མཛངས་བླུན་ཞེས་བྱ་བའི་མདོ།,མཛངས་བླུན་ཞེས་བྱ་བའི་མདོ།,The Sutra of the Wise and the Foolish,toh341,WA0RK0341,1. 經部,སངས་རྒྱས་བཅོམ་ལྡན་འདས།,Buddha Bhagavan,བཀའ་འགྱུར།,Bo,《賢愚經》toh341-tai202_bo,I0C6865B3 - མཛངས་བླུན་ཞེས་བྱ་བའི་མདོ།,fodian.org,,Alignment Checking,,,,,,
https://online.adarshah.org/index.html?kdb=degekangyur&sutra=d341&page=74-129b&highlight=%E0%BD%98%E0%BD%9B%E0%BD%84%E0%BD%A6%E0%BC%8B%E0%BD%96%E0%BE%B3%E0%BD%B4%E0%BD%93%E0%BC%8B%E0%BD%9E%E0%BD%BA%E0%BD%A6%E0%BC%8B%E0%BD%96%E0%BE%B1%E0%BC%8B%E0%BD%96%E0%BD%A0%E0%BD%B2%E0%BC%8B%E0%BD%98%E0%BD%91%E0%BD%BC%E0%BC%8D,,,《賢愚經》,《賢愚經》,,toh341,,1. 經部,佛世尊,,CBETA,ZH,《賢愚經》toh341-tai202_zh,IFFCB5522 - 《賢愚經》,fodian.org,,Alignment Checking,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
" toh56to57-tai310(002,003,005,006,008)",,陳老師,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-002,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-002,"Heap of Jewels, Bodhisattva Canon Assembly - Xuanzang -toh56to57-tai310-002",toh56,WA0RK0056-2,1. 經部,སངས་རྒྱས་བཅོམ་ལྡན་འདས།,Buddha Bhagavan,Esukhia,Bo,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-002_bo,IB8AEE7EC - འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-002,fodian.org,,Alignment Checking,,,,,,
https://online.adarshah.org/index.html?kdb=jiangkangyur&sutra=J311&page=79-295a,,陳老師,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-002,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-002,,toh56,,1. 經部,佛世尊,,CBETA,ZH,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-002_zh,I416C55D0 - 《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-002,fodian.org,,Alignment Checking,,,,,,
,,,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-003,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-003,"Heap of Jewels, Bodhisattva Canon Assembly - Xuanzang -toh56to57-tai310-003",toh56,WA0RK0056-3,1. 經部,སངས་རྒྱས་བཅོམ་ལྡན་འདས།,Buddha Bhagavan,Esukhia,Bo,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-003_bo,I77C8599C - འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-003,fodian.org,,Alignment Checking,,,,,,
,,,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-003,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-003,,toh56,,1. 經部,佛世尊,,CBETA,ZH,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-003_zh,I94E6F811 - 《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-003,fodian.org,,Alignment Checking,,,,,,
,,,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-005,འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-005,"Heap of Jewels, Bodhisattva Canon Assembly - Xuanzang -toh56to57-tai310-005",toh56,WA0RK0056-5,1. 經部,སངས་རྒྱས་བཅོམ་ལྡན་འདས།,Buddha Bhagavan,Esukhia,Bo,《大寶積經》菩薩藏會-玄奘 toh56to57-tai310-005_bo,I5F22508A - འཕགས་པ་བྱང་ཆུབ་སེམས་དཔའི་སྡེ་སྣོད་ཅེས་བྱ་བ་ཐེག་པ་ཆེན་པོའི་མདོ། toh56to57-tai310-005,fodian.org,,Alignment Checking,,,,,,
